Date,site,IGBPname,Landcover,ID,co2,LE,Rln,Prcp,Pa,Rs,Tavg,VPD,U2,LAI,Albedo,Emiss
2014-1-4,US-Wkg,GRA,10,164,385.5539583,5.5451875,287.8479167,0,84.4956875,89.98752083,10.82333333,0.9685625,4.197416667,0.21041,0.19752,0.97851
2010-8-29,US-Ne1,CRO,12,138,391.8208333,145.9,376.7083333,0,96.88083333,220.9291667,23.60420833,1.10875,4.453333333,0.89457,0.19336,0.98554
2012-10-29,US-Me6,ENF,1,135,398.5411875,25.34471083,344.55,2.044,90.1978125,25.88872917,11.39583333,0.316229167,1.3685,0.93825,0.10888,0.98806
2012-8-2,US-PFa,MF,5,143,393.6839583,85.31670833,357.561,0,95.53670833,232.7895417,22.5045,0.802958333,2.05925,1.7493,0.145,0.98316
2010-9-4,US-Me2,ENF,1,134,388.4639583,39.90180708,270.6237083,0,87.334625,278.3453958,12.979875,0.567125,4.735645833,2.447,0.11109,0.9875
2014-10-24,AU-Ync,GRA,10,26,378.0104167,9.411220163,371.2083333,0,99.79145833,242.9791667,26.65166667,2.715766667,4.636041667,0.34345,0.19122,0.98447
2011-10-17,US-Ton,WSA,8,148,422.1747083,38.20584688,331.9517917,0,99.38958333,190.8712292,20.58291667,1.086375,1.6511875,1.3155,0.14471,0.98498
2007-4-12,BE-Vie,MF,5,29,392.6806667,43.77550423,293.9952083,0,96.45208333,242.8958333,13.80895833,0.72881875,1.87825,3.2638,0.114,0.98274
2012-3-27,DE-Obe,ENF,1,67,386.7222917,21.79916667,257.356875,0,94.39291667,188.6202083,6.934791667,0.310708333,4.29875,2.1478,0.077,0.9874
2009-5-23,FR-Fon,DBF,4,85,375.4295833,80.14278806,337.2829167,0,100.0708333,205.2874792,16.48020833,0.610341667,2.835625,2.4983,0.165,0.98394
2010-12-29,AU-Wom,EBF,2,25,372.49375,127.625,308.1041667,0,92.815625,391.6666667,17.65020833,1.152670833,3.480416667,3.5725,0.128,0.98277
